YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,5,14,4,US,1721,N174US,CLT,SMF,1810,1830,20,26,1856,329,313,283,2244,2039,4,2039,2043,4,0,0,,,,,,
2015,11,29,7,MQ,3363,N902MQ,LEX,ORD,1837,1906,29,16,1922,108,96,64,323,1926,16,1925,1942,17,0,0,,0,0,0,17,0
2015,2,10,2,US,1933,N562UW,PHL,ORD,730,725,-5,10,735,152,129,104,678,819,15,902,834,-28,0,0,,,,,,
2015,12,21,1,UA,1929,N460UA,SEA,EWR,622,623,1,13,636,309,291,272,2402,1408,6,1431,1414,-17,0,0,,,,,,
2015,5,7,4,DL,1478,N67171,ATL,PHL,725,728,3,14,742,120,112,92,666,914,6,925,920,-5,0,0,,,,,,
2015,2,24,2,NK,843,N624NK,ORD,MYR,1635,,,,,114,,,753,,,1929,,,0,1,B,,,,,
2015,8,1,6,OO,2879,N464SW,LAX,SJC,1000,955,-5,20,1015,76,74,50,308,1105,4,1116,1109,-7,0,0,,,,,,
2015,11,17,2,DL,1577,N3766,MSY,LAX,1329,1344,15,10,1354,261,247,230,1670,1544,7,1550,1551,1,0,0,,,,,,
2015,12,11,5,AS,745,N433AS,ATL,SEA,1840,1848,8,15,1903,339,332,307,2182,2110,10,2119,2120,1,0,0,,,,,,
2015,11,12,4,EV,4940,N138EV,ABE,ATL,1303,1300,-3,17,1317,130,140,112,692,1509,11,1513,1520,7,0,0,,,,,,
2015,10,31,6,NK,1068,N512NK,12889,11042,940,935,-5,11,946,243,226,204,1824,1610,11,1643,1621,-22,0,0,,,,,,
2015,12,29,2,WN,327,N902WN,CHS,BWI,1955,2013,18,9,2022,90,89,62,472,2124,18,2125,2142,17,0,0,,0,0,1,16,0
2015,10,6,2,WN,2743,N558WN,13198,13204,820,819,-1,7,826,160,138,125,1072,1131,6,1200,1137,-23,0,0,,,,,,
2015,4,15,3,DL,2213,N998DL,MLB,ATL,1416,1416,0,17,1433,103,95,69,442,1542,9,1559,1551,-8,0,0,,,,,,
2015,11,6,5,MQ,3268,N843MQ,CVG,ORD,2043,2041,-2,17,2058,87,79,46,264,2044,16,2110,2100,-10,0,0,,,,,,
2015,2,2,1,WN,2494,N8302F,ATL,MDW,605,605,0,14,619,115,114,93,591,652,7,700,659,-1,0,0,,,,,,
2015,1,5,1,DL,815,N939DL,ATL,SYR,2035,2033,-2,13,2046,131,117,100,794,2226,4,2246,2230,-16,0,0,,,,,,
2015,5,23,6,AA,321,N3LSAA,ORD,DCA,1820,1816,-4,22,1838,122,110,82,612,2100,6,2122,2106,-16,0,0,,,,,,
2015,4,15,3,OO,5580,N118SY,ORD,MSP,755,749,-6,12,801,89,75,59,334,900,4,924,904,-20,0,0,,,,,,
2015,1,28,3,DL,7,N539US,ATL,MIA,845,848,3,13,901,113,95,77,594,1018,5,1038,1023,-15,0,0,,,,,,
2015,3,28,6,EV,5994,N12922,BUF,ORD,1028,1014,-14,17,1031,112,98,72,473,1043,9,1120,1052,-28,0,0,,,,,,
2015,7,13,1,HA,131,N488HA,ITO,HNL,1631,1637,6,8,1645,52,49,36,216,1721,5,1723,1726,3,0,0,,,,,,
2015,8,22,6,F9,705,N905FR,ATL,MSY,1905,1859,-6,13,1912,95,82,64,425,1916,5,1940,1921,-19,0,0,,,,,,
2015,9,29,2,EV,6144,N12540,ABE,ORD,1722,1720,-2,8,1728,128,136,115,654,1823,13,1830,1836,6,0,0,,,,,,
2015,7,23,4,DL,2805,N603AT,MOB,ATL,726,720,-6,19,739,75,74,46,302,925,9,941,934,-7,0,0,,,,,,
2015,12,11,5,DL,1384,N3766,LAX,SEA,1425,1420,-5,17,1437,174,171,145,954,1702,9,1719,1711,-8,0,0,,,,,,
2015,12,1,2,B6,318,N265JB,JFK,BOS,630,623,-7,15,638,67,65,45,187,723,5,737,728,-9,0,0,,,,,,
2015,4,10,5,AA,10,N790AA,LAX,JFK,2155,2147,-8,17,2204,328,311,287,2475,551,7,623,558,-25,0,0,,,,,,
2015,12,25,5,AA,1634,N4XCAA,DFW,DEN,1540,1536,-4,16,1552,124,113,91,641,1623,6,1644,1629,-15,0,0,,,,,,
2015,5,21,4,AA,1697,N3JMAA,SAN,ORD,1113,1105,-8,22,1127,247,240,199,1723,1646,19,1720,1705,-15,0,0,,,,,,
2015,1,25,7,DL,1227,N952DL,DTW,RSW,1406,1401,-5,21,1422,192,176,151,1084,1653,4,1718,1657,-21,0,0,,,,,,
2015,12,7,1,EV,5161,N900EV,ATL,VLD,1453,1450,-3,17,1507,62,57,36,208,1543,4,1555,1547,-8,0,0,,,,,,
2015,7,19,7,WN,35,N621SW,BNA,BWI,1920,1941,21,10,1951,105,118,78,587,2209,30,2205,2239,34,0,0,,13,0,0,21,0
