date_of_journey,month,day_of_week,airline,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure,departure_time,departure_delay,taxi_out,takeoff_time,scheduled_time,elapsed_time,air_time,distance,landing_time,taxi_in,scheduled_arrival,arrival_time,arrival_delay,diverted,cancelled,cancellation_reason,air_system_delay,security_delay,airline_delay,late_aircraft_delay,weather_delay
2015-05-14,May,Thursday,US,1721,N174US,CLT,SMF,18:10:00,18:30:00,20.0,26.0,18:56:00,329.0,313.0,283.0,2244,20:39:00,4.0,20:39:00,20:43:00,4.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-29,November,Sunday,MQ,3363,N902MQ,LEX,ORD,18:37:00,19:06:00,29.0,16.0,19:22:00,108.0,96.0,64.0,323,19:26:00,16.0,19:25:00,19:42:00,17.0,0,0,Not Cancelled,0.0,0.0,0.0,17.0,0.0
2015-02-10,February,Tuesday,US,1933,N562UW,PHL,ORD,07:30:00,07:25:00,-5.0,10.0,07:35:00,152.0,129.0,104.0,678,08:19:00,15.0,09:02:00,08:34:00,-28.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-21,December,Monday,UA,1929,N460UA,SEA,EWR,06:22:00,06:23:00,1.0,13.0,06:36:00,309.0,291.0,272.0,2402,14:08:00,6.0,14:31:00,14:14:00,-17.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-05-07,May,Thursday,DL,1478,N67171,ATL,PHL,07:25:00,07:28:00,3.0,14.0,07:42:00,120.0,112.0,92.0,666,09:14:00,6.0,09:25:00,09:20:00,-5.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-02-24,February,Tuesday,NK,843,N624NK,ORD,MYR,16:35:00,,,,,114.0,,,753,,,19:29:00,,,0,1,B,0.0,0.0,0.0,0.0,0.0
2015-08-01,August,Saturday,OO,2879,N464SW,LAX,SJC,10:00:00,09:55:00,-5.0,20.0,10:15:00,76.0,74.0,50.0,308,11:05:00,4.0,11:16:00,11:09:00,-7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-17,November,Tuesday,DL,1577,N3766,MSY,LAX,13:29:00,13:44:00,15.0,10.0,13:54:00,261.0,247.0,230.0,1670,15:44:00,7.0,15:50:00,15:51:00,1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-11,December,Friday,AS,745,N433AS,ATL,SEA,18:40:00,18:48:00,8.0,15.0,19:03:00,339.0,332.0,307.0,2182,21:10:00,10.0,21:19:00,21:20:00,1.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-11-12,November,Thursday,EV,4940,N138EV,ABE,ATL,13:03:00,13:00:00,-3.0,17.0,13:17:00,130.0,140.0,112.0,692,15:09:00,11.0,15:13:00,15:20:00,7.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-10-31,October,Saturday,NK,1068,N512NK,12889,11042,09:40:00,09:35:00,-5.0,11.0,09:46:00,243.0,226.0,204.0,1824,16:10:00,11.0,16:43:00,16:21:00,-22.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-12-29,December,Tuesday,WN,327,N902WN,CHS,BWI,19:55:00,20:13:00,18.0,9.0,20:22:00,90.0,89.0,62.0,472,21:24:00,18.0,21:25:00,21:42:00,17.0,0,0,Not Cancelled,0.0,0.0,1.0,16.0,0.0
2015-10-06,October,Tuesday,WN,2743,N558WN,13198,13204,08:20:00,08:19:00,-1.0,7.0,08:26:00,160.0,138.0,125.0,1072,11:31:00,6.0,12:00:00,11:37:00,-23.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
2015-04-15,April,Wednesday,DL,2213,N998DL,MLB,ATL,14:16:00,14:16:00,0.0,17.0,14:33:00,103.0,95.0,69.0,442,15:42:00,9.0,15:59:00,15:51:00,-8.0,0,0,Not Cancelled,0.0,0.0,0.0,0.0,0.0
